Full Image Title,Onsite Image URL,Date,Object Page URL,Shortened Title with Date
Baptism of Christ (London),../img/scale/brueghel/2962.jpg,1625,janbrueghel/baptism-of-christ-london,Baptism of Christ (London)
Baptism of Christ (Munich),../img/scale/brueghel/2963.jpg,1597,janbrueghel/baptism-of-christ-munich,Baptism of Christ (Munich)
Baptism of Christ (Private Collection),../img/scale/brueghel/2964.jpg,1608,janbrueghel/baptism-of-christ-private-collection,Baptism of Christ (Private Collection)
Baptism of the Ethiopian Eunuch,../img/scale/brueghel/2965.jpg,1620,janbrueghel/baptism-of-the-ethiopian-eunuch,Baptism of the Ethiopian Eunuch
Basket and Glass Vase of Flowers (Amsterdam),../img/scale/brueghel/2967.jpg,1617,janbrueghel/basket-and-glass-vase-of-flowers-amsterdam,Basket and Glass Vase of Flowers (Amsterdam)
Basket and Glass Vase of Flowers (Washington),../img/scale/brueghel/2968.jpg,1615,janbrueghel/basket-and-glass-vase-of-flowers-washington,Basket and Glass Vase of Flowers (Washington)
Basket of Flowers (New York),../img/scale/brueghel/2969.jpg,1620,janbrueghel/basket-of-flowers-new-york,Basket of Flowers (New York)
Battle Scene,../img/scale/brueghel/2970.jpg,1609,janbrueghel/battle-scene,Battle Scene
Battle of the Amazons (Potsdam),../img/scale/brueghel/2972.jpg,1598,janbrueghel/battle-of-the-amazons-potsdam,Battle of the Amazons (Potsdam)
Battle of the Amazons (Private Collection),../img/scale/brueghel/2973.jpg,1610,janbrueghel/battle-of-the-amazons-private-collection,Battle of the Amazons (Private Collection)
Battle of the Israelites and the Amalekites,../img/scale/brueghel/2974.jpg,1602,janbrueghel/battle-of-the-israelites-and-the-amalekites,Battle of the Israelites and the Amalekites
Birds for an Allegory of Air,../img/scale/brueghel/2976.jpg,1610,janbrueghel/birds-for-an-allegory-of-air,Birds for an Allegory of Air
Boat Building,../img/scale/brueghel/2977.jpg,,janbrueghel/boat-building,Boat Building
Bouquet in a Sculpted Vase Beside a Wreath of Flowers (Berlin),../img/scale/brueghel/2991.jpg,1620,janbrueghel/bouquet-in-a-sculpted-vase-beside-a-wreath-of-flowers-berlin,Bouquet in a Sculpted Vase Beside a Wreath of Flowers (Berlin)
Broad Landscape with Dairy Farming,../img/scale/brueghel/3005.jpg,1621,janbrueghel/broad-landscape-with-dairy-farming,Broad Landscape with Dairy Farming
Busy Village Street by a Stream,../img/scale/brueghel/3010.jpg,1615,janbrueghel/busy-village-street-by-a-stream,Busy Village Street by a Stream
Busy Village Street with Resting Travelers,../img/scale/brueghel/3011.jpg,1614,janbrueghel/busy-village-street-with-resting-travelers,Busy Village Street with Resting Travelers
Calvary (Milan),../img/scale/brueghel/3013.jpg,1606,janbrueghel/calvary-milan,Calvary (Milan)
Calvary (Munich),../img/scale/brueghel/3014.jpg,1598,janbrueghel/calvary-munich,Calvary (Munich)
Canal through a Village,../img/scale/brueghel/3015.jpg,,janbrueghel/canal-through-a-village,Canal through a Village
Carrying of the Cross (Christ & the Holy Women),../img/scale/brueghel/3018.jpg,1606,janbrueghel/carrying-of-the-cross-christ-the-holy-women,Carrying of the Cross (Christ & the Holy Women)
Castle on the Seashore,../img/scale/brueghel/3020.jpg,,janbrueghel/castle-on-the-seashore,Castle on the Seashore
Cattle Crossing by a Country Road,../img/scale/brueghel/3021.jpg,1616,janbrueghel/cattle-crossing-by-a-country-road,Cattle Crossing by a Country Road
Cattle Market in a Village,../img/scale/brueghel/3022.jpg,1615,janbrueghel/cattle-market-in-a-village,Cattle Market in a Village
Cavalry Engagement at the Windmills,../img/scale/brueghel/3023.jpg,1612,janbrueghel/cavalry-engagement-at-the-windmills,Cavalry Engagement at the Windmills
Choir of Musical Angels,../img/scale/brueghel/3024.jpg,1595,janbrueghel/choir-of-musical-angels,Choir of Musical Angels
Christ and Apostles Resting on Hill Outside Jerusalem (Florence),../img/scale/brueghel/3025.jpg,1600,janbrueghel/christ-and-apostles-resting-on-hill-outside-jerusalem-florence,Christ and Apostles Resting on Hill Outside Jerusalem (Florence)
Christ and the Adulterous Woman (Munich),../img/scale/brueghel/3026.jpg,1597,janbrueghel/christ-and-the-adulterous-woman-munich,Christ and the Adulterous Woman (Munich)
Christ and the Adulterous Woman (Private Collection),../img/scale/brueghel/3027.jpg,1597,janbrueghel/christ-and-the-adulterous-woman-private-collection,Christ and the Adulterous Woman (Private Collection)
Christ and the Apostles in the Tempest on the Sea of Galilee (Madrid),../img/scale/brueghel/3028.jpg,1596,janbrueghel/christ-and-the-apostles-in-the-tempest-on-the-sea-of-galilee-madrid,Christ and the Apostles in the Tempest on the Sea of Galilee (Madrid)
Christ in Limbo (Aschaffenburg),../img/scale/brueghel/3029.jpg,1600,janbrueghel/christ-in-limbo-aschaffenburg,Christ in Limbo (Aschaffenburg)
Christ in Limbo (Riggisberg),../img/scale/brueghel/3030.jpg,1593,janbrueghel/christ-in-limbo-riggisberg,Christ in Limbo (Riggisberg)
Christ in Limbo (Rome),../img/scale/brueghel/3031.jpg,1594,janbrueghel/christ-in-limbo-rome,Christ in Limbo (Rome)
Christ in Limbo (The Hague),../img/scale/brueghel/3032.jpg,1597,janbrueghel/christ-in-limbo-the-hague,Christ in Limbo (The Hague)
Christ in the Storm (Christ and Apostles on the Lake of Tiberius) (Milan),../img/scale/brueghel/3033.jpg,1595,janbrueghel/christ-in-the-storm-christ-and-apostles-on-the-lake-of-tiberius-milan,Christ in the Storm (Christ and Apostles on the Lake of Tiberius) (Milan)
Cityscape with Busy Street,../img/scale/brueghel/3035.jpg,1610,janbrueghel/cityscape-with-busy-street,Cityscape with Busy Street
The Clivus Scauri in Rome,../img/scale/brueghel/3037.jpg,1594,janbrueghel/the-clivus-scauri-in-rome,The Clivus Scauri in Rome
Coach on a Country Road,../img/scale/brueghel/3038.jpg,,janbrueghel/coach-on-a-country-road,Coach on a Country Road
Coastal Landscape with Temple of Vesta,../img/scale/brueghel/3042.jpg,1595,janbrueghel/coastal-landscape-with-temple-of-vesta,Coastal Landscape with Temple of Vesta
Coastal Landscape with Temple of Vesta (Choiseul),../img/scale/brueghel/3043.jpg,1600,janbrueghel/coastal-landscape-with-temple-of-vesta-choiseul,Coastal Landscape with Temple of Vesta (Choiseul)
Coastal Landscape with Temple of Vesta (London),../img/scale/brueghel/3044.jpg,1600,janbrueghel/coastal-landscape-with-temple-of-vesta-london,Coastal Landscape with Temple of Vesta (London)
Confluence of Rivers,../img/scale/brueghel/3045.jpg,,janbrueghel/confluence-of-rivers,Confluence of Rivers
