"pid","object_pid","file_type","file_description","original_format","research_date","researchers","equipment_used","file_location","file_notes","collection","thumbnail","fullwidth","order","original_file_name"
538,3819,"Normal Light Images›Details","Flowers in a Blue Painted Vase - Detail 5",,,,,,,"curatorial_files","img/derivatives/simple/538/thumbnail.jpg","img/derivatives/simple/538/fullwidth.jpg",,"Flowers_in_a_Blue_Painted_Vase_detail_5_0.jpg"
539,3820,"Normal Light Images›Details","Detail",,,,,,"Ertz 2008-10, Cat 421","curatorial_files","img/derivatives/simple/539/thumbnail.jpg","img/derivatives/simple/539/fullwidth.jpg",,"Flowers_in_a_Glass_Vase_(Private_Collection)_A.jpg"
540,3154,"Normal Light Images›Details","Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/540/thumbnail.jpg","img/derivatives/simple/540/fullwidth.jpg",,"Flowers_in_a_Glass_Vase_(Switzerland)Extra.jpg"
541,3160,"Normal Light Images›Extra Images","Black and white",,,,,,,"curatorial_files","img/derivatives/simple/541/thumbnail.jpg","img/derivatives/simple/541/fullwidth.jpg",,"Flowers_in_a_Painted_Vase_with_Chalice_and_Wreath_(Munich)xb&w.jpg"
542,3177,"Normal Light Images›Details","Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/542/thumbnail.jpg","img/derivatives/simple/542/fullwidth.jpg",,"Flowers_in_a_Wooden_Tub_(The_Hague)x1.jpg"
543,3177,"Normal Light Images›Details","Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/543/thumbnail.jpg","img/derivatives/simple/543/fullwidth.jpg",,"Flowers_in_a_Wooden_Tub_(The_Hague)x2.jpg"
544,3180,"Normal Light Images›Extra Images",,,,,,,,"curatorial_files","img/derivatives/simple/544/thumbnail.jpg","img/derivatives/simple/544/fullwidth.jpg",,"Flowers_in_a_Wooden_Tub_with_Tulip_(Paris)Extra.jpg"
545,3186,"Normal Light Images›Framed","Forest Landscape with Angler - Framed",,,,,,,"curatorial_files","img/derivatives/simple/545/thumbnail.jpg","img/derivatives/simple/545/fullwidth.jpg",,"Forest_Landscape_with_Angler_framed.jpg"
546,3186,"Normal Light Images›Details","Forest Landscape with Angler - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/546/thumbnail.jpg","img/derivatives/simple/546/fullwidth.jpg",,"Forest_Landscape_with_Angler_detail_1.jpg"
547,3186,"Normal Light Images›Details","Forest Landscape with Angler - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/547/thumbnail.jpg","img/derivatives/simple/547/fullwidth.jpg",,"Forest_Landscape_with_Angler_detail_2.jpg"
548,3186,"Normal Light Images›Details","Forest Landscape with Angler - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/548/thumbnail.jpg","img/derivatives/simple/548/fullwidth.jpg",,"Forest_Landscape_with_Angler_detail_3.jpg"
549,3192,"Normal Light Images›Framed","Framed",,,,,,,"curatorial_files","img/derivatives/simple/549/thumbnail.jpg","img/derivatives/simple/549/fullwidth.jpg",,"Forest_Landscape_with_Duck_Hunter.jpg"
550,3205,"Normal Light Images›Related Materials","Forest Landscape with Hunters (Private Collection) depicted in the Allegory of Sight (Prado)",,,,,,"The relationship between the two paintings is explored in Wood Ruby 2012.","curatorial_files","img/derivatives/simple/550/thumbnail.jpg","img/derivatives/simple/550/fullwidth.jpg",,"Forest_Landscape_with_Hunters_(Private_Collection)_extra_1.jpg"
551,3211,"Normal Light Images›Details","Forest Landscape with St. Hubert - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/551/thumbnail.jpg","img/derivatives/simple/551/fullwidth.jpg",,"Forest_Landscape_with_St._Hubert_detail_1.jpg"
552,3211,"Normal Light Images›Details","Forest Landscape with St. Hubert - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/552/thumbnail.jpg","img/derivatives/simple/552/fullwidth.jpg",,"Forest_Landscape_with_St._Hubert_detail_2.jpg"
553,3211,"Normal Light Images›Details","Forest Landscape with St. Hubert - Detail 3",,,,,,,"curatorial_files","img/derivatives/simple/553/thumbnail.jpg","img/derivatives/simple/553/fullwidth.jpg",,"Forest_Landscape_with_St._Hubert_detail_3.jpg"
554,3229,"Normal Light Images›Framed","Forest with Hunting Scene (Framed)",,,,,,,"curatorial_files","img/derivatives/simple/554/thumbnail.jpg","img/derivatives/simple/554/fullwidth.jpg",,"Forest_with_Hunting_Scene_2.jpg"
555,3825,"Normal Light Images›Extra Images","Fruit Garland with Offering to Ceres - Additional Image",,,,,,,"curatorial_files","img/derivatives/simple/555/thumbnail.jpg","img/derivatives/simple/555/fullwidth.jpg",,"Fruit_Garland_with_Offering_to_Ceres,_Hague.jpg"
556,3246,"Normal Light Images›Details","Fruit and Flower Garland with the Holy Family in a Landscape (Munich) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/556/thumbnail.jpg","img/derivatives/simple/556/fullwidth.jpg",,"Fruit_and_Flower_Garland_with_the_Holy_Family_in_a_Landscape_(Munich)_detail_1.jpg"
557,3246,"Normal Light Images›Details","Fruit and Flower Garland with the Holy Family in a Landscape (Munich) - Detail 2",,,,,,,"curatorial_files","img/derivatives/simple/557/thumbnail.jpg","img/derivatives/simple/557/fullwidth.jpg",,"Fruit_and_Flower_Garland_with_the_Holy_Family_in_a_Landscape_(Munich)_detail_2.jpg"
559,3260,"Normal Light Images›Details","Harbor with Preaching of Christ (London) - Detail 1",,,,,,,"curatorial_files","img/derivatives/simple/559/thumbnail.jpg","img/derivatives/simple/559/fullwidth.jpg",,"Harbor_with_Preaching_of_Christ_(London)_detail_1.jpg"
