"pid","title","series","collection","order","layout","permalink","object_ids"
"the-months","The Months","The Months","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/the-months/","10006|10020|10021|10022|10033"
"the-story-of-the-magician-hermogenes","The Story of the Magician Hermogenes","The Story of the Magician Hermogenes","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/the-story-of-the-magician-hermogenes/","10129|10130"
"the-seven-virtues","The Seven Virtues","The Seven Virtues","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/the-seven-virtues/","10131|10132|10133|10134|10135|10136|10137"
"the-seven-deadly-sins","The Seven Deadly Sins","The Seven Deadly Sins","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/the-seven-deadly-sins/","10139|10140|10141|10142|10143|10144|10145"
"spring-and-summer","Spring and Summer","Spring and Summer","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/spring-and-summer/","10147|10148"
"the-thin-kitchen-and-the-fat-kitchen","The Thin Kitchen and the Fat Kitchen","The Thin Kitchen and the Fat Kitchen","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/the-thin-kitchen-and-the-fat-kitchen/","10154|10155"
"the-large-landscapes","The Large Landscapes","The Large Landscapes","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/the-large-landscapes/","10167|10168|10169|10170|10171|10172|10173|10174|10175|10176|10177|10178|10179"
"sailing-vessels","Sailing Vessels","Sailing Vessels","series_pieterbruegel",,"seriespage_pieterbruegel","/pieterbruegel/series/sailing-vessels/","10180|10181|10182|10183|10184|10185|10186|10187|10188|10189"
