pid,exclude,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
18214,"Allegory of Fire: Venus in the Forge of Vulcan (London, Phillips, 1994)",,,"Allegory of Fire: Venus in the Forge of Vulcan (London, Phillips, 1994)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Nude Landscape Armor,,47,67,,,"Copper, Panel",,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1261,brueghel_item,brueghel,img/derivatives/simple/18214/thumbnail.jpg,img/derivatives/simple/18214/full.jpg
18215,"Allegory of Fire: Venus in the Forge of Vulcan (Paris, Galliera)",,,"Allegory of Fire: Venus in the Forge of Vulcan (Paris, Galliera)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Nude Landscape Armor,,53.5,88,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1262,brueghel_item,brueghel,img/derivatives/simple/18215/thumbnail.jpg,img/derivatives/simple/18215/full.jpg
18216,Allegory of Fire: Venus in the Forge of Vulcan (Russia),,,Allegory of Fire: Venus in the Forge of Vulcan (Russia),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Nude Landscape Armor,,48.8,73.5,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1263,brueghel_item,brueghel,img/derivatives/simple/18216/thumbnail.jpg,img/derivatives/simple/18216/full.jpg
18217,Allegory of Fire: Venus in the Forge of Vulcan (Versailles),,,Allegory of Fire: Venus in the Forge of Vulcan (Versailles),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Nude Landscape Armor,,31,40,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1264,brueghel_item,brueghel,img/derivatives/simple/18217/thumbnail.jpg,img/derivatives/simple/18217/full.jpg
18218,Allegory of Fire: Venus in the Forge of Vulcan (Monaco),,,Allegory of Fire: Venus in the Forge of Vulcan (Monaco),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Nude Landscape Armor,,39.4,49.5,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1265,brueghel_item,brueghel,img/derivatives/simple/18218/thumbnail.jpg,img/derivatives/simple/18218/full.jpg
18219,Allegory of Fire: Venus in the Forge of Vulcan (Florence),,,Allegory of Fire: Venus in the Forge of Vulcan (Florence),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Nude Landscape Armor,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Florence, Italy, A Rocchi",,,,,,,,,1266,brueghel_item,brueghel,img/derivatives/simple/18219/thumbnail.jpg,img/derivatives/simple/18219/full.jpg
18220,Venus and Mars in the Forge of Vulcan (Paris),,,Venus and Mars in the Forge of Vulcan (Paris),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Volcano Landscape Armor,,74.5,127,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1267,brueghel_item,brueghel,img/derivatives/simple/18220/thumbnail.jpg,img/derivatives/simple/18220/full.jpg
18221,The Forge of Vulcan (Cologne),,,The Forge of Vulcan (Cologne),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Landscape Armor,,23.5,33,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1268,brueghel_item,brueghel,img/derivatives/simple/18221/thumbnail.jpg,img/derivatives/simple/18221/full.jpg
18222,Allegory of Air and Fire (Monaco),,,Allegory of Air and Fire (Monaco),Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Landscape Armor,,53.5,75,,,Panel,,J.V. Kessel (C),,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1269,brueghel_item,brueghel,img/derivatives/simple/18222/thumbnail.jpg,img/derivatives/simple/18222/full.jpg
18223,Vulcan in Forge with Birds,,,Vulcan in Forge with Birds,Painting,Allegory,Birds Forge Armor,,26.5,52,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1270,brueghel_item,brueghel,img/derivatives/simple/18223/thumbnail.jpg,img/derivatives/simple/18223/full.jpg
18224,Allegory of Air and Fire (Vienna),,,Allegory of Air and Fire (Vienna),Painting,Allegory,Elements Birds Nude Putti Armor,,50,39,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1271,brueghel_item,brueghel,img/derivatives/simple/18224/thumbnail.jpg,img/derivatives/simple/18224/full.jpg
18225,"Allegory of Fire: Venus in the Forge of Vulcan (A. Flinck, Brussels)",,,"Allegory of Fire: Venus in the Forge of Vulcan (A. Flinck, Brussels)",Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Landscape Armor,1625,60,94,,,,,,,,,,,,,,,,,,Jan Brueghel de O.,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1272,brueghel_item,brueghel,img/derivatives/simple/18225/thumbnail.jpg,img/derivatives/simple/18225/full.jpg
18226,"Allegory of Air and Fire (Gallerie Robert Finck, Brussels)",,,"Allegory of Air and Fire (Gallerie Robert Finck, Brussels)",Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Nude Landscape Armor,,60.5,89,,,,,,,,,Frans Francken the Younger (1581-1642),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1273,brueghel_item,brueghel,img/derivatives/simple/18226/thumbnail.jpg,img/derivatives/simple/18226/full.jpg
18227,Venus in the Forge of Vulcan,,,Venus in the Forge of Vulcan,Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Nude Landscape Armor,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1274,brueghel_item,brueghel,img/derivatives/simple/18227/thumbnail.jpg,img/derivatives/simple/18227/full.jpg
18228,Allegory of Fire (Private Collection),,,Allegory of Fire (Private Collection),Painting,Allegory,,1628,53,88,,,Panel,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,Jan Brueghel II (ertz),,,,,Private,,,,Private Collection,,"Ertz 1979, S. 373, Anm. 580",,,,,,"{% cite 9004 %} S. 373, Anm. 580",1275,brueghel_item,brueghel,img/derivatives/simple/18228/thumbnail.jpg,img/derivatives/simple/18228/full.jpg
18229,Allegory of Might and Right,,,Allegory of Might and Right,Painting,Allegory,,,57,78,,,Panel,,"J. Brueghel, F. Anno 1647",lower left,,,David Teniers the Younger,,,,,,,,,Jan Brueghel II (ertz),,,,,Private,,,,Private Collection,,"Slg. Kat. Cremer Dortmund 1914, Nr. 317, Textband S. 56",,,,,,,1276,brueghel_item,brueghel,img/derivatives/simple/18229/thumbnail.jpg,img/derivatives/simple/18229/full.jpg
18230,Venus in Vulcan's Forge,,,Venus in Vulcan&apos;s Forge,Painting,Allegory,,,62.8,107.3,,,Panel,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Unknown/Not Applicable,,,,,,,,,,,,,1277,brueghel_item,brueghel,img/derivatives/simple/18230/thumbnail.jpg,img/derivatives/simple/18230/full.jpg
18231,Allegory of the Elements (J. Paul Getty Museum),,,Allegory of the Elements (J. Paul Getty Museum),Painting,Allegory,,1630s,52.5,81.5,,,Panel,,,,,,Frans Francken the Younger (1581-1642),,,,,,,,,Jan Brueghel II (ertz),,,,,Public,United States,"Los Angeles, CA",J. Paul Getty Museum,Inv. Nr. A 71.P-8,,"Mus.Kat. Malibu 1972, S. 65, Abb. 80 (als Jan I); Härting 1983, Nr. A 298.",,,,,,{% cite 8751 %} Nr. A 298.,1278,brueghel_item,brueghel,img/derivatives/simple/18231/thumbnail.jpg,img/derivatives/simple/18231/full.jpg
18232,Allegory of Elements,,,Allegory of Elements,Painting,Allegory,,late 1630s,52.5,81.5,,,Panel,,,,,,Frans Francken the Younger (1581-1642),,,,,,,,,Jan Brueghel II (ertz),,,,,Unknown/Not Applicable,,,,,,,,,,,,,1279,brueghel_item,brueghel,img/derivatives/simple/18232/thumbnail.jpg,img/derivatives/simple/18232/full.jpg
18233,The So-Called Battle of Callo,,,The So-Called Battle of Callo,Painting,Allegory,,before 1648,,,,,,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Private,,,,"Zürich, Switzerland",,"The Connoisseur, Sept. 1927",,,,,,,1280,brueghel_item,brueghel,img/derivatives/simple/18233/thumbnail.jpg,img/derivatives/simple/18233/full.jpg
18234,Allegory of Discord,,,Allegory of Discord,Painting,Allegory,,before 1648,53,89,,,Panel,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Public,France,Avignon,Musée Calvet,Inv. Nr. 505,,"Ertz 1979, S. 328, Abb. 397, Anm. 453",,,,,,"{% cite 9004 %} S. 328, Abb. 397, Anm. 453",1281,brueghel_item,brueghel,img/derivatives/simple/18234/thumbnail.jpg,img/derivatives/simple/18234/full.jpg
18242,"Flowers Wreath in a Tazza (London, Royal Academy)",,,"Flowers Wreath in a Tazza (London, Royal Academy)",Painting,Flower Still-Life & Nature Study,Tazza Flowers,,31.5,47,,,,,,,,,,,,,,,,,,,,,,,Private,,,,Mrs. E. Hamilton-Browne,,,,,,,,,1282,brueghel_item,brueghel,img/derivatives/simple/18242/thumbnail.jpg,img/derivatives/simple/18242/full.jpg
18244,"Tazza with Wreath of Flowers, Box of Jewels and Coins, and Glass Vase (Christie's, London)",,,"Tazza with Wreath of Flowers, Box of Jewels and Coins, and Glass Vase (Christie&apos;s, London)",Painting,Flower Still-Life & Nature Study,,,47.5,66.5,,,Panel,,BRVEGHEL,lower right,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Private,,,,"Solingen, Germany, Galerie Mullenmeister",,"Eemans 1964, S. 66 u. Abb. 39; Hairs 1965, S. 365, Nr. 52; Ertz 1979, Kat. 339, S. 301, Abb. 376 (as Jan I(?)); Greindl 1983, S. 342, Nr. 1 Abb. S. 51. Taf. 80 (as Jan II)",,,,,,,1283,brueghel_item,brueghel,img/derivatives/simple/18244/thumbnail.jpg,img/derivatives/simple/18244/full.jpg
18245,"Flowers in Painted Vase, Wreath, and Tazza (Brussels, Heuvel)",,,"Flowers in Painted Vase, Wreath, and Tazza (Brussels, Heuvel)",Painting,Flower Still-Life & Nature Study,Insects Tazza Vase Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Brussels, M. Arthur de Heuvel",,,,,,,,,1284,brueghel_item,brueghel,img/derivatives/simple/18245/thumbnail.jpg,img/derivatives/simple/18245/full.jpg
18246,"Flowers in Basket and Tazza (Paris, Artcurial)",,,"Flowers in Basket and Tazza (Paris, Artcurial)",Painting,Flower Still-Life & Nature Study,Basket Tazza Flowers,1630s,52,82,,,Panel,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Unknown/Not Applicable,,,,,,"Hairs 1965, S. 69, 363, Fig. 10 (also Jan I); Eemans 1964, 48, Abb. 49; Ausst. Kat. Gent. 1960, S. 112, bei Nr.33; Ertz 1979, Abb. 368, S. 294, Anm. 387.",,,,,,,1285,brueghel_item,brueghel,img/derivatives/simple/18246/thumbnail.jpg,img/derivatives/simple/18246/full.jpg
18247,"Flowers in Basket and Tazza (Christie's, New York, 2004)",,,"Flowers in Basket and Tazza (Christie&apos;s, New York, 2004)",Painting,Flower Still-Life & Nature Study,Basket Tazza Flowers,,54.6,90.55,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1286,brueghel_item,brueghel,img/derivatives/simple/18247/thumbnail.jpg,img/derivatives/simple/18247/full.jpg
18248,"Flowers in Basket and Tazza (London, Sotheby's, 2000)",,,"Flowers in Basket and Tazza (London, Sotheby&apos;s, 2000)",Painting,Flower Still-Life & Nature Study,Basket Tazza Flowers,,58.5,85.7,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1287,brueghel_item,brueghel,img/derivatives/simple/18248/thumbnail.jpg,img/derivatives/simple/18248/full.jpg
18249,"Flowers in Basket and Tazza (The Hague, Dietel)",,,"Flowers in Basket and Tazza (The Hague, Dietel)",Painting,Flower Still-Life & Nature Study,Basket Tazza Flowers,,,,,,Panel,,,,,,,,,,,,,,,,,,,,Private,,,,"The Hague, H. Dietel",,,,,,,,,1288,brueghel_item,brueghel,img/derivatives/simple/18249/thumbnail.jpg,img/derivatives/simple/18249/full.jpg
18250,"Flowers in Basket and Tazza (Bergen, Billedgalleri)",,,"Flowers in Basket and Tazza (Bergen, Billedgalleri)",Painting,Flower Still-Life & Nature Study,Basket Tazza Flowers,,68,100,,,,,,,,,,,,,,,,,,,,,,,Public,Norway,Bergen,Billedgalleri,"not in cat. 1907, inv.BB 670 (as 'unknown')",,,,,,,,,1289,brueghel_item,brueghel,img/derivatives/simple/18250/thumbnail.jpg,img/derivatives/simple/18250/full.jpg
18251,"Flowers in Basket and Tazza (Budapest, Szepmuveszeti)",,,"Flowers in Basket and Tazza (Budapest, Szepmuveszeti)",Painting,Flower Still-Life & Nature Study,Basket Tazza Flowers,1630s,64,93.5,,,Panel,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Public,Hungary,Budapest,Szépmüvészeti Múzeum,"cat. exhibition 1961, no.. 72",,"Garas 1960, S. 18 u.39; Pigler 1956, S. 104, Abb. 200; Mus. Kat. Budapest 1967, S. 40; Paris 1971, S. 56 und 72, Abb. 3 und 66",,,,,,,1290,brueghel_item,brueghel,img/derivatives/simple/18251/thumbnail.jpg,img/derivatives/simple/18251/full.jpg
18252,Flowers in Basket and Tazza (Hartford),,,Flowers in Basket and Tazza (Hartford),Painting,Flower Still-Life & Nature Study,Basket Tazza Flowers,,53,73,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1291,brueghel_item,brueghel,img/derivatives/simple/18252/thumbnail.jpg,img/derivatives/simple/18252/full.jpg
18253,St. Jerome in a Flower Cartouche (Maastricht),,,St. Jerome in a Flower Cartouche (Maastricht),Painting,Garland,Religious Lion Waterfall Flowers Garland,,73,62.5,,,,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Private,,,,"Maastricht, Noortman, 1986",,,,,,,,,1292,brueghel_item,brueghel,img/derivatives/simple/18253/thumbnail.jpg,img/derivatives/simple/18253/full.jpg
18254,"Garlands of Flowers Encircling a Feigned Stone Cartouche with the Adoration of the Shepherds (London, Sotheby's)",,,"Garlands of Flowers Encircling a Feigned Stone Cartouche with the Adoration of the Shepherds (London, Sotheby&apos;s)",Painting,Garland,Religious Christ Holy_family New_Testament Virgin_Mary Flowers Garland,,119.4,98,,,Canvas,,,,,,Cornelis Schut (1597–1655),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1293,brueghel_item,brueghel,img/derivatives/simple/18254/thumbnail.jpg,img/derivatives/simple/18254/full.jpg
18255,"Flower Garland Around Adoration of the Magi (Madrid, Prado)",,,"Flower Garland Around Adoration of the Magi (Madrid, Prado)",Painting,Garland,Religious Christ Holy_family New_Testament Flowers Garland,,35,29,,,,,P. BRVEGHEL,,,,,,,,,,,,,,,,,,Public,Spain,Madrid,Museo del Prado,"inv. 1849, nr. 1281; cat. 1975, nr. 1415",,,,,,,,,1294,brueghel_item,brueghel,img/derivatives/simple/18255/thumbnail.jpg,img/derivatives/simple/18255/full.jpg
18256,Cartouche Around Pastoral Scene (Dusseldorf),,,Cartouche Around Pastoral Scene (Dusseldorf),Painting,Garland,Flowers Garland,,39,30,,,Panel,,,upper right,,D. Segers f (later addition),,,,,,,,,,,,,,,Private,,,,"Dusseldorf, 1988",,,,,,,,,1295,brueghel_item,brueghel,img/derivatives/simple/18256/thumbnail.jpg,img/derivatives/simple/18256/full.jpg
18257,Flower Garland with Inner Garland of Religious Scenes (Sotheby's),,,Flower Garland with Inner Garland of Religious Scenes (Sotheby&apos;s),Painting,Garland,Religious John_the_Baptist Virgin_Mary Flowers Garland,1621,65,50,,,Copper,,(remnants of signature:) ....fr.nken IN..F../Ao 1621,middle,,,Frans Francken the Younger (1581-1642),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1296,brueghel_item,brueghel,img/derivatives/simple/18257/thumbnail.jpg,img/derivatives/simple/18257/full.jpg
18258,"A Garland of Flowers Surrounding the Temptation of Saint Anthony Pendant (Sotheby's, London, 1996)",,,"A Garland of Flowers Surrounding the Temptation of Saint Anthony Pendant (Sotheby&apos;s, London, 1996)",Painting,Garland,Religious Flowers Garland,,16.5,13.5,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1297,brueghel_item,brueghel,img/derivatives/simple/18258/thumbnail.jpg,img/derivatives/simple/18258/full.jpg
18259,"John the Baptist in a Cartouche with Flowers - Pendant (Christie's, London, 2006)",,,"John the Baptist in a Cartouche with Flowers - Pendant (Christie&apos;s, London, 2006)",Painting,Garland,John_the_Baptist New_Testament Flowers Garland,,73,55.8,,,Copper,,S.JAN BREGEL,bottom center,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1298,brueghel_item,brueghel,img/derivatives/simple/18259/thumbnail.jpg,img/derivatives/simple/18259/full.jpg
18260,Cartouche around Two Men in Garden (Maastricht),,,Cartouche around Two Men in Garden (Maastricht),Painting,Garland,Flowers Garland,1653,107.5,147.5,,,Panel,,"Ao 1653 Lúcas van Vden Jan Breugel Jan Thomas, Nicolaus de man aetatis 57.1653","upper right, lower right",,,Lucas van Uden (1595–1672),and J. Thomas,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1299,brueghel_item,brueghel,img/derivatives/simple/18260/thumbnail.jpg,img/derivatives/simple/18260/full.jpg
18261,Cartouche with Flowers Around an Amorous Couple (Munich),,,Cartouche with Flowers Around an Amorous Couple (Munich),Painting,Garland,Flowers Garland,,39,24.5,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1300,brueghel_item,brueghel,img/derivatives/simple/18261/thumbnail.jpg,img/derivatives/simple/18261/full.jpg
18262,Cartouche with Flowers Around a Portrait of a Young Girl (Cologne),,,Cartouche with Flowers Around a Portrait of a Young Girl (Cologne),Painting,Garland,Children Garland,,84,57.5,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1301,brueghel_item,brueghel,img/derivatives/simple/18262/thumbnail.jpg,img/derivatives/simple/18262/full.jpg
18263,Vertical Flower Garland with Putti (Madrid),,,Vertical Flower Garland with Putti (Madrid),Painting,Garland,Putti Garland,,174,56,,,Canvas,,,,,,Peter Paul Rubens (1577-1632),School/circle of Rubens,,,,,,,,,,,,,Private,,,,"Madrid, Nr. 1420, as ""Rubens-school""",,,,,,,,,1302,brueghel_item,brueghel,img/derivatives/simple/18263/thumbnail.jpg,img/derivatives/simple/18263/full.jpg
18264,Garland of Flowers Around a Medallion with a Flute-PLaying Shepherd (Vienna),,,Garland of Flowers Around a Medallion with a Flute-PLaying Shepherd (Vienna),Painting,Garland,Sheep Flowers Garland,,47,37,,,Panel,,P. Soreau,bottom left,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1303,brueghel_item,brueghel,img/derivatives/simple/18264/thumbnail.jpg,img/derivatives/simple/18264/full.jpg
18265,"The Madonna and Child Surrounded by a Garland of Flowers (London, van Haeften)",,,"The Madonna and Child Surrounded by a Garland of Flowers (London, van Haeften)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,44.8,35.6,,,Copper,,,,,,Hendrick van Balen (1575-1632),"(FGM, 1996)",,,,,,,,,,,,,Private,,,,"London, J. van Haeften, cat. 1996",,,,,,,,,1304,brueghel_item,brueghel,img/derivatives/simple/18265/thumbnail.jpg,img/derivatives/simple/18265/full.jpg
18266,Cartouche with Flower Garland and Putti Around Madonna and Child (Bamberg),,,Cartouche with Flower Garland and Putti Around Madonna and Child (Bamberg),Painting,Garland,Sheep Putti Christ Virgin_Mary Flowers Garland,,138,108,,,Canvas,,J. Brueghel,lower left,,,Pieter van Avont (1600-1652),"(FGM & CW, 1992)",,,,,,,,,,,,,Public,Germany,Bamberg,Senger Bamberg,cat. 1992,,,,,,,,,1305,brueghel_item,brueghel,img/derivatives/simple/18266/thumbnail.jpg,img/derivatives/simple/18266/full.jpg
18267,"Flower Garland Around Medallion of Madonna and Child (London, Sotheby's, 1965)",,,"Flower Garland Around Medallion of Madonna and Child (London, Sotheby&apos;s, 1965)",Painting,Garland,Birds Christ Virgin_Mary Flowers Garland,,39,31,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1306,brueghel_item,brueghel,img/derivatives/simple/18267/thumbnail.jpg,img/derivatives/simple/18267/full.jpg
18268,"Madonna and Child Surrounded by Cartouche and Flower Garlands (Paris, Gallery V)",,,"Madonna and Child Surrounded by Cartouche and Flower Garlands (Paris, Gallery V)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,78.7,53.3,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Paris, Gallery V",,,,,,,,,1307,brueghel_item,brueghel,img/derivatives/simple/18268/thumbnail.jpg,img/derivatives/simple/18268/full.jpg
18269,"Garland Around Medallion of Madonna and Child (Munich, Munchener Jahrbuch)",,,"Garland Around Medallion of Madonna and Child (Munich, Munchener Jahrbuch)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,63,49,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Munich, Munchener Jahrbuch, cat. 1981, blz. 115 e.v., met afb.",,"M.L. Hairs in Oud Holland 76, 1951 // blz. 178, met afb // M.D. Padron in Archivo Espagnol de Arte, 1980, nr. 210, blz. 203 e.v. afb. 17, als A. Daniels // Freedberg in Munchener Jahrbuch, 1981, blz. 115, e.v. met afb.",,,,,,,1308,brueghel_item,brueghel,img/derivatives/simple/18269/thumbnail.jpg,img/derivatives/simple/18269/full.jpg
18270,"Garland Around Medallion of Madonna and Child (Sotheby's, Amsterdam)",,,"Garland Around Medallion of Madonna and Child (Sotheby&apos;s, Amsterdam)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,37,31.5,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1309,brueghel_item,brueghel,img/derivatives/simple/18270/thumbnail.jpg,img/derivatives/simple/18270/full.jpg
18272,"Cartouche with Flowers Around Madonna and Child  (Paris, Berge)",,,"Cartouche with Flowers Around Madonna and Child  (Paris, Berge)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,38.2,27,,,,,DB,,DB + handje (verso),,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1310,brueghel_item,brueghel,img/derivatives/simple/18272/thumbnail.jpg,img/derivatives/simple/18272/full.jpg
18273,"Madonna and Child Standing on a Globe Enthroned in Flowers and Birds (London, Baring Fine Art)",,,"Madonna and Child Standing on a Globe Enthroned in Flowers and Birds (London, Baring Fine Art)",Painting,Garland,Birds Christ Holy_family Virgin_Mary Flowers Garland,,45.5,71.2,,,Canvas,,I. Breughel,bottom right,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1311,brueghel_item,brueghel,img/derivatives/simple/18273/thumbnail.jpg,img/derivatives/simple/18273/full.jpg
18274,Garland of Flowers Surrouding Medallion of Haloed Madonna and Child (Compiegne),,,Garland of Flowers Surrouding Medallion of Haloed Madonna and Child (Compiegne),Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,,,,,,,,,,,Daniel Seghers (1590–1661),,,,,,,,,,,,,,Private,,,,"Compiègne, France",,,,,,,,,1312,brueghel_item,brueghel,img/derivatives/simple/18274/thumbnail.jpg,img/derivatives/simple/18274/full.jpg
18275,"A Garland of Flowers Surrounding a Medallion of the Virgin and Child (London, Christie's, 1998)",,,"A Garland of Flowers Surrounding a Medallion of the Virgin and Child (London, Christie&apos;s, 1998)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,63.8,48.9,,,Panel,,"LS (maker's mark, Lambrecht Steen) and the coat of arms of the city of Antwerp",,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1313,brueghel_item,brueghel,img/derivatives/simple/18275/thumbnail.jpg,img/derivatives/simple/18275/full.jpg
18276,"A Garland of Flowers Surrounding the Virgin and Child (Lempertz, Cologne, 2006)",,,"A Garland of Flowers Surrounding the Virgin and Child (Lempertz, Cologne, 2006)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,109,84,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1314,brueghel_item,brueghel,img/derivatives/simple/18276/thumbnail.jpg,img/derivatives/simple/18276/full.jpg
18277,"A Garland of Flowers Surrounding the Virgin and Child (Christie's, New York, 2002)",,,"A Garland of Flowers Surrounding the Virgin and Child (Christie&apos;s, New York, 2002)",Painting,Garland,Christ Holy_family Virgin_Mary Flowers Garland,,57.9,47.6,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1315,brueghel_item,brueghel,img/derivatives/simple/18277/thumbnail.jpg,img/derivatives/simple/18277/full.jpg
18278,"Flower Garland Around a Cartouche Framing the Madonna and Child (Vienna, Dorotheum, 1998)",,,"Flower Garland Around a Cartouche Framing the Madonna and Child (Vienna, Dorotheum, 1998)",Painting,Garland,Putti Christ Holy_family Virgin_Mary Flowers Garland,,49.5,64.5,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1316,brueghel_item,brueghel,img/derivatives/simple/18278/thumbnail.jpg,img/derivatives/simple/18278/full.jpg
18279,"Flower Garland and Cartouche Framing the Madonna and Child (Hanover, Landesmuseum)",,,"Flower Garland and Cartouche Framing the Madonna and Child (Hanover, Landesmuseum)",Painting,Garland,Putti Christ Holy_family Virgin_Mary Flowers Garland,ca. 1630,93,65,,,Panel,,,,,,Cornelis Schut (1597–1655),(probably),,,,,,,,,,,,,Public,Germany,Hannover,Niedersächsisches Landesmuseum,"cat. 1930, nr. 163",,"Lit: Parthey, Deutscher Bildersaal II, Berlin 1864, S. 543, Nr. 20 -- Kunsthist. Studien des Prov.-Mus. Hannover, Bd. II, 1929, Taf. 41.",,,,,,,1317,brueghel_item,brueghel,img/derivatives/simple/18279/thumbnail.jpg,img/derivatives/simple/18279/full.jpg
18280,"Flower Garland Around Sepia Depiction of Nativity Scene (Maastricht, Fine Art Fair)",,,"Flower Garland Around Sepia Depiction of Nativity Scene (Maastricht, Fine Art Fair)",Painting,Garland,Putti Christ Holy_family Virgin_Mary Flowers Garland,,73.5,100,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Maastricht, Netherlands, Fine Art Fair, cat. 1991, 1992, and 1993",,,,,,,,,1318,brueghel_item,brueghel,img/derivatives/simple/18280/thumbnail.jpg,img/derivatives/simple/18280/full.jpg
