pid,exclude,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
18170,"Adoration of the Magi (Brussel, Koninklijk Mus.)",,,"Adoration of the Magi (Brussel, Koninklijk Mus.)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,127,166,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1219,brueghel_item,brueghel,img/derivatives/simple/18170/thumbnail.jpg,img/derivatives/simple/18170/full.jpg
18171,Adoration of the Magi (Philadelphia),,,Adoration of the Magi (Philadelphia),Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,122,157.5,,,Canvas,,,,,,,,,,,,,,,Pieter Brueghel II (Ertz),,,,,Public,United States,"Philadelphia, PA",Philadelphia Museum of Art,"donation of Mrs. B.H. Moore, 1883",,,,,,,,,1220,brueghel_item,brueghel,img/derivatives/simple/18171/thumbnail.jpg,img/derivatives/simple/18171/full.jpg
18172,"Adoration of the Magi (New York, Sotheby's)",,,"Adoration of the Magi (New York, Sotheby&apos;s)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,115.9,159.1,,,Canvas,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1221,brueghel_item,brueghel,img/derivatives/simple/18172/thumbnail.jpg,img/derivatives/simple/18172/full.jpg
18173,"The Adoration of the Magi (London, Sotheby's)",,,"The Adoration of the Magi (London, Sotheby&apos;s)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,118,181,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,"G. Gluck, Das grosse Bruegel-Werk, 1953, p. 40; G. Marlier, Pierre Brueghel le jeune, 1969, p. 315, no. 7",,,,,,{% cite 9317 %} p. 315 no. 7,1222,brueghel_item,brueghel,img/derivatives/simple/18173/thumbnail.jpg,img/derivatives/simple/18173/full.jpg
18174,"The Adoration of the Magi (London, Sotheby's 1990)",,,"The Adoration of the Magi (London, Sotheby&apos;s 1990)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,124.5,168,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1223,brueghel_item,brueghel,img/derivatives/simple/18174/thumbnail.jpg,img/derivatives/simple/18174/full.jpg
18175,"The Adoration of the Magi (Amsterdam, Sotheby's)",,,"The Adoration of the Magi (Amsterdam, Sotheby&apos;s)",Painting,Religious,Resting Dog Horse Bridge River Soldiers Christ New_Testament Virgin_Mary,,116,159.5,,,Canvas,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1224,brueghel_item,brueghel,img/derivatives/simple/18175/thumbnail.jpg,img/derivatives/simple/18175/full.jpg
18178,Allegory of Fire: Venus in the Forge of Vulcan (Stockholm),,,Allegory of Fire: Venus in the Forge of Vulcan (Stockholm),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,66,89,,,Copper,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1225,brueghel_item,brueghel,img/derivatives/simple/18178/thumbnail.jpg,img/derivatives/simple/18178/full.jpg
18179,"Allegory of Fire: Venus in the Forge of Vulcan (Sotheby's, New York)",,,"Allegory of Fire: Venus in the Forge of Vulcan (Sotheby&apos;s, New York)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,1659,35.9,46.6,,,,,HB,,,1659 (LL),Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1226,brueghel_item,brueghel,img/derivatives/simple/18179/thumbnail.jpg,img/derivatives/simple/18179/full.jpg
18180,Allegory of Fire (Stuttgart),,,Allegory of Fire (Stuttgart),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Landscape Armor,,46,67,,,,,,,,,,,,,,,,,,,,,,,Public,Germany,Stuttgart,Staatsgalerie Stuttgart,"cat. 1931, no 613",,,,,,,,,1227,brueghel_item,brueghel,img/derivatives/simple/18180/thumbnail.jpg,img/derivatives/simple/18180/full.jpg
18181,Allegory of Fire (Paris),,,Allegory of Fire (Paris),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Landscape Armor,,,,,,,,,,,,,,,,,,,,,,,,,,Public,France,Paris,Musée du Louvre,"cat. 1954, nr. 4007",,,,,,,,,1228,brueghel_item,brueghel,img/derivatives/simple/18181/thumbnail.jpg,img/derivatives/simple/18181/full.jpg
18182,Allegory of Fire: Venus in the Forge of Vulcan (Plymouth),,,Allegory of Fire: Venus in the Forge of Vulcan (Plymouth),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,57,92,,,,,,,,,,,,,,,,,,,,,,,Public,England,Plymouth,"Saltram House, National Trust","Saltram II, nr. 71",,,,,,,,,1229,brueghel_item,brueghel,img/derivatives/simple/18182/thumbnail.jpg,img/derivatives/simple/18182/full.jpg
18183,Allegory of Fire: Venus in the Forge of Vulcan (Brussels),,,Allegory of Fire: Venus in the Forge of Vulcan (Brussels),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,31,42,,,Copper,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1230,brueghel_item,brueghel,img/derivatives/simple/18183/thumbnail.jpg,img/derivatives/simple/18183/full.jpg
18184,Allegory of Fire: Venus in the Forge of Vulcan (Frankfurt),,,Allegory of Fire: Venus in the Forge of Vulcan (Frankfurt),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,,,,,,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1231,brueghel_item,brueghel,img/derivatives/simple/18184/thumbnail.jpg,img/derivatives/simple/18184/full.jpg
18185,Allegory of Fire: Venus in the Forge of Vulcan (Peterborough),,,Allegory of Fire: Venus in the Forge of Vulcan (Peterborough),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,77,49,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Peterborough, England, Lady Exter, Burghley House, nr. 118",,,,,,,,,1232,brueghel_item,brueghel,img/derivatives/simple/18185/thumbnail.jpg,img/derivatives/simple/18185/full.jpg
18186,Allegory of Fire: Venus in the Forge of Vulcan (Raehills),,,Allegory of Fire: Venus in the Forge of Vulcan (Raehills),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,62,98,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Raehills, Lockerbie, Scotland, Major Hope Johnstone, cat. 1963, nr. B 8212, blz.4.",,,,,,,,,1233,brueghel_item,brueghel,img/derivatives/simple/18186/thumbnail.jpg,img/derivatives/simple/18186/full.jpg
18187,Allegory of Fire: Venus in the Forge of Vulcan (Solms),,,Allegory of Fire: Venus in the Forge of Vulcan (Solms),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,,,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Solms, Germany, Dr. Christoph Jokisch, cat. 1974",,,,,,,,,1234,brueghel_item,brueghel,img/derivatives/simple/18187/thumbnail.jpg,img/derivatives/simple/18187/full.jpg
18188,Allegory of Fire: Venus in the Forge of Vulcan (Dortmund),,,Allegory of Fire: Venus in the Forge of Vulcan (Dortmund),Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,,46,66.5,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1235,brueghel_item,brueghel,img/derivatives/simple/18188/thumbnail.jpg,img/derivatives/simple/18188/full.jpg
18189,"Allegory of Fire: Venus in the Forge of Vulcan (London, Christie's)",,,"Allegory of Fire: Venus in the Forge of Vulcan (London, Christie&apos;s)",Painting,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Volcano Nude Landscape Armor,1660,40,52,,,Copper,,,,"Carlo Sibirani, 1897 (reverse of the frame)","""HB 1660"" (LL)",Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1236,brueghel_item,brueghel,img/derivatives/simple/18189/thumbnail.jpg,img/derivatives/simple/18189/full.jpg
18190,"Allegory of Fire: Venus in the Forge of Vulcan (London, Christie's, 1999)",,,"Allegory of Fire: Venus in the Forge of Vulcan (London, Christie&apos;s, 1999)",Print,Allegory,Cosmology Elements Encyclopedic Forge Ruins Van_Balen Nude Landscape Armor,,46.5,84.5,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1237,brueghel_item,brueghel,img/derivatives/simple/18190/thumbnail.jpg,img/derivatives/simple/18190/full.jpg
18191,Allegory of Fire: Venus in the Forge of Vulcan (Mosigkau),,,Allegory of Fire: Venus in the Forge of Vulcan (Mosigkau),Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Landscape Armor,,62.5,95,,,,,,,,,,,,,,,,,,,,,,,Private,,,,"Mosigkau, Germany, cat. 1874, no. 28",,,,,,,,,1238,brueghel_item,brueghel,img/derivatives/simple/18191/thumbnail.jpg,img/derivatives/simple/18191/full.jpg
18192,"Allegory of Air and Fire (Cortauld Institute, London)",,,"Allegory of Air and Fire (Cortauld Institute, London)",Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Landscape Armor,,61,92,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1239,brueghel_item,brueghel,img/derivatives/simple/18192/thumbnail.jpg,img/derivatives/simple/18192/full.jpg
18193,Allegory of Air and Fire (The Hague),,,Allegory of Air and Fire (The Hague),Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Landscape Armor,,,,,,,,,,,,Hendrick van Balen (1575-1632),,,,,,,,,,,,,,Private,,,,"The Hague, Netherlands, D. Hersen",,,,,,,,,1240,brueghel_item,brueghel,img/derivatives/simple/18193/thumbnail.jpg,img/derivatives/simple/18193/full.jpg
18194,"Allegory of Air and Fire (London, Christie's, 2009)",,,"Allegory of Air and Fire (London, Christie&apos;s, 2009)",Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Nude Landscape Armor,,47,61.6,,,,,,,,,,,,,,,,,,Jan Brueghel II (ertz),,,,,Unknown/Not Applicable,,,,,,,,,,,,,1241,brueghel_item,brueghel,img/derivatives/simple/18194/thumbnail.jpg,img/derivatives/simple/18194/full.jpg
18195,"Allegory of Air and Fire (London, Christie's, 1996)",,,"Allegory of Air and Fire (London, Christie&apos;s, 1996)",Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Landscape Armor,,50.3,64.5,,,Copper,,,,,,Frans Francken the Younger (1581-1642),,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1242,brueghel_item,brueghel,img/derivatives/simple/18195/thumbnail.jpg,img/derivatives/simple/18195/full.jpg
18196,Allegory of Air and Fire (Munich),,,Allegory of Air and Fire (Munich),Painting,Allegory,Cosmology Elements Encyclopedic Birds Forge Ruins Van_Balen Volcano Nude Putti Landscape Armor,late 1630s,50,85,,,Panel,,,,,,Frans Francken the Younger (1581-1642),,,,,,,,,Jan Brueghel II (ertz),,,,,Public,Germany,Munich,Bayerische Staatsgemäldesammlungen,inv. nr. 1997,,"Jost 1963, S. 106, Anm. 78; Ertz 1979, nm. 584; Mus. Kat. Schleissheim 1980, S. 21 (als Jan II und Frans Francken II)",,,,,,"{% cite 8321 %} S. 106, Anm. 78, {% cite 9004 %} nm. 584",1243,brueghel_item,brueghel,img/derivatives/simple/18196/thumbnail.jpg,img/derivatives/simple/18196/full.jpg
18197,Allegory of Fire: Venus in the Forge of Vulcan (The Hague),,,Allegory of Fire: Venus in the Forge of Vulcan (The Hague),Painting,Allegory,Cosmology Elements Encyclopedic Horse Forge Ruins Van_Balen Nude Putti Landscape Armor,1608,,,,,,,,,,,,,,,,,,,,,,,,,Public,Germany,Potsdam,Prussian Palaces and Gardens Foundation Berlin-Brandenburg,"Slot Neues Palais, gen. cat. nr. 7717",,,,,,,,,1244,brueghel_item,brueghel,img/derivatives/simple/18197/thumbnail.jpg,img/derivatives/simple/18197/full.jpg
18198,Allegory of the Four Elements (Brussels),,,Allegory of the Four Elements (Brussels),Painting,Allegory,Abundance Elements Encyclopedic Birds Fish River Nude Armor Flowers Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1245,brueghel_item,brueghel,img/derivatives/simple/18198/thumbnail.jpg,img/derivatives/simple/18198/full.jpg
18199,Allegory of the Four Elements (Budapest),,,Allegory of the Four Elements (Budapest),Painting,Allegory,Abundance Elements Encyclopedic Birds Fish River Nude Armor Flowers,,56.2,84.6,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1246,brueghel_item,brueghel,img/derivatives/simple/18199/thumbnail.jpg,img/derivatives/simple/18199/full.jpg
18200,"Allegory of the Four Elements (Brussels, G. Haes he Lorehen)",,,"Allegory of the Four Elements (Brussels, G. Haes he Lorehen)",Painting,Allegory,Abundance Elements Encyclopedic Birds Fish River Nude Armor Flowers,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1247,brueghel_item,brueghel,img/derivatives/simple/18200/thumbnail.jpg,img/derivatives/simple/18200/full.jpg
18201,The Sense of Touch (London),,,The Sense of Touch (London),Painting,Allegory,Encyclopedic Senses Ruins Nude Putti Landscape Armor,,75.5,115.5,,,Panel,,,,,,,,,,,,,,,,,,,,Unknown/Not Applicable,,,,,,,,,,,,,1248,brueghel_item,brueghel,img/derivatives/simple/18201/thumbnail.jpg,img/derivatives/simple/18201/full.jpg
