"pid","object_id","file_type_category","file_type","file_notes","file_description","original_format","research_date","researchers","equipment_used","file_location","fullwidth","thumbnail","order","collection"
502,"3809","Normal Light Images","Detail",,"Diana and Actaeon - Detail 2",,,,,,"img/derivatives/simple/502/fullwidth.jpg","img/derivatives/simple/502/thumbnail.jpg",,"curatorial_files"
503,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 1",,,,,,"img/derivatives/simple/503/fullwidth.jpg","img/derivatives/simple/503/thumbnail.jpg",,"curatorial_files"
504,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 2",,,,,,"img/derivatives/simple/504/fullwidth.jpg","img/derivatives/simple/504/thumbnail.jpg",,"curatorial_files"
505,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 3",,,,,,"img/derivatives/simple/505/fullwidth.jpg","img/derivatives/simple/505/thumbnail.jpg",,"curatorial_files"
506,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 4",,,,,,"img/derivatives/simple/506/fullwidth.jpg","img/derivatives/simple/506/thumbnail.jpg",,"curatorial_files"
507,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 5",,,,,,"img/derivatives/simple/507/fullwidth.jpg","img/derivatives/simple/507/thumbnail.jpg",,"curatorial_files"
508,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 6",,,,,,"img/derivatives/simple/508/fullwidth.jpg","img/derivatives/simple/508/thumbnail.jpg",,"curatorial_files"
509,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 7",,,,,,"img/derivatives/simple/509/fullwidth.jpg","img/derivatives/simple/509/thumbnail.jpg",,"curatorial_files"
510,"3813","Normal Light Images","Detail",,"Fantastic Cave with Odysseus and Calypso - Detail 8",,,,,,"img/derivatives/simple/510/fullwidth.jpg","img/derivatives/simple/510/thumbnail.jpg",,"curatorial_files"
511,"3101","Normal Light Images","Detail",,"Farmstead on the Stream - Detail 1",,,,,,"img/derivatives/simple/511/fullwidth.jpg","img/derivatives/simple/511/thumbnail.jpg",,"curatorial_files"
512,"3108","Normal Light Images","Detail",,"Feast of the Gods with Bacchus - Detail 1",,,,,,"img/derivatives/simple/512/fullwidth.jpg","img/derivatives/simple/512/thumbnail.jpg",,"curatorial_files"
513,"3108","Normal Light Images","Detail",,"Feast of the Gods with Bacchus - Detail 2",,,,,,"img/derivatives/simple/513/fullwidth.jpg","img/derivatives/simple/513/thumbnail.jpg",,"curatorial_files"
514,"3815","Normal Light Images","Extra Image","Black and white image","Black and white image",,,,,,"img/derivatives/simple/514/fullwidth.jpg","img/derivatives/simple/514/thumbnail.jpg",,"curatorial_files"
515,"3116","Normal Light Images","Detail",,"Fish Market by a River - Detail 1",,,,,,"img/derivatives/simple/515/fullwidth.jpg","img/derivatives/simple/515/thumbnail.jpg",,"curatorial_files"
